,altitude_mean_meters,Aroma,Flavor,Aftertaste,Acidity,Body,Variety,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Country.of.Origin,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
238,1480.0,7.67,7.75,7.67,7.75,7.67,Typica,7.75,10.0,10.0,10.0,7.83,0.11,Mexico,1,10,84.08
239,1800.0,7.92,7.92,7.83,8.0,7.92,Other,7.92,10.0,10.0,8.67,7.92,0.09,Ethiopia,0,15,84.08
241,1800.0,7.83,7.75,7.67,7.75,7.33,Gesha,7.75,10.0,10.0,10.0,7.92,0.11,Ethiopia,3,1,84.0
242,1500.0,7.42,7.83,7.75,7.92,7.75,Caturra,7.58,10.0,10.0,10.0,7.75,0.1,Honduras,0,5,84.0
243,1706.88,7.67,7.83,7.58,7.92,7.75,Caturra,7.67,10.0,10.0,10.0,7.58,0.12,Guatemala,0,7,84.0
244,1600.0,7.67,7.67,7.83,7.58,7.58,Other,7.83,10.0,10.0,10.0,7.83,0.11,Colombia,2,7,84.0
245,1219.2,7.92,7.67,7.42,7.92,7.75,Bourbon,7.83,10.0,10.0,10.0,7.5,0.1,Guatemala,0,1,84.0
246,1219.2,7.75,7.83,7.5,7.83,7.58,Bourbon,7.67,10.0,10.0,10.0,7.83,0.1,Guatemala,0,0,84.0
248,1450.0,7.58,7.42,7.75,7.92,7.75,Caturra,7.92,10.0,10.0,10.0,7.67,0.12,Colombia,0,0,84.0
249,1775.0,7.67,7.67,7.5,7.5,7.67,Caturra,7.67,10.0,10.0,10.0,8.33,0.12,Colombia,0,3,84.0
250,1550.0,7.75,7.75,7.5,7.58,7.67,Other,7.92,10.0,10.0,10.0,7.83,0.09,Ethiopia,4,40,84.0
251,1260.0,7.58,7.83,7.67,7.25,8.0,Yellow Bourbon,7.75,10.0,10.0,10.0,7.92,0.1,Brazil,0,0,84.0
252,1700.0,7.67,7.83,7.67,7.75,7.67,Caturra,7.75,10.0,10.0,10.0,7.67,0.11,Colombia,0,1,84.0
253,1200.0,7.67,7.83,7.5,7.75,7.92,SL34,7.67,10.0,10.0,10.0,7.67,0.0,Kenya,0,2,84.0
255,1650.0,7.67,7.75,7.67,7.75,7.83,SL28,7.67,10.0,10.0,10.0,7.67,0.0,Kenya,0,0,84.0
256,1700.0,7.92,7.75,7.58,7.67,7.67,Other,7.83,10.0,10.0,10.0,7.58,0.1,Uganda,10,26,84.0
258,890.0,7.5,7.75,7.58,7.5,7.58,Bourbon,7.5,10.0,10.0,10.0,8.5,0.0,Brazil,0,3,83.92
259,1300.0,7.83,7.83,7.58,7.92,7.42,Mundo Novo,7.5,10.0,10.0,10.0,7.83,0.11,Mexico,0,5,83.92
260,1350.0,7.67,7.75,7.5,7.67,7.67,Catimor,7.83,10.0,10.0,10.0,7.83,0.1,Thailand,0,1,83.92
261,934.0,7.58,7.67,7.67,7.75,7.58,Bourbon,7.83,10.0,10.0,10.0,7.83,0.11,Brazil,0,7,83.92
262,1200.0,7.83,7.75,7.83,7.75,7.83,Typica,7.75,9.33,10.0,10.0,7.83,0.11,Taiwan,0,3,83.92
268,1775.0,7.75,7.58,7.67,7.83,7.83,Caturra,7.67,10.0,10.0,10.0,7.58,0.0,Colombia,0,1,83.92
269,950.0,8.0,7.92,7.92,7.92,7.67,Typica,7.33,10.0,10.0,10.0,7.17,0.06,Taiwan,0,0,83.92
270,1550.0,7.67,7.83,7.67,7.75,7.67,Caturra,7.83,10.0,10.0,10.0,7.5,0.12,Colombia,0,3,83.92
271,900.0,7.67,7.75,7.58,7.67,7.75,Typica,7.83,10.0,10.0,10.0,7.67,0.12,Mexico,10,32,83.92
272,1500.0,7.5,7.67,7.58,7.83,7.75,Typica,7.75,10.0,10.0,10.0,7.83,0.11,Mexico,0,2,83.92
273,1400.0,7.75,7.92,7.83,7.92,7.75,Typica,7.67,9.33,10.0,10.0,7.75,0.0,Mexico,0,2,83.92
274,2527.0,7.92,7.58,7.5,7.83,7.58,Caturra,7.67,10.0,10.0,10.0,7.75,0.0,Colombia,1,6,83.83
276,1850.0,7.67,7.67,7.75,7.67,7.5,Caturra,7.75,10.0,10.0,10.0,7.83,0.0,Costa Rica,0,0,83.83
277,1500.0,7.75,7.75,7.5,7.75,7.83,Bourbon,7.58,10.0,10.0,10.0,7.67,0.11,Guatemala,0,6,83.83
279,1.0,7.25,7.58,7.42,8.0,7.75,Yellow Bourbon,7.83,10.0,10.0,10.0,8.0,0.0,Brazil,0,0,83.83
280,525.0,7.67,7.75,7.67,7.75,7.42,Typica,7.75,10.0,10.0,10.0,7.83,0.0,Taiwan,0,1,83.83
282,1200.0,7.67,7.67,7.58,7.5,7.83,Bourbon,8.17,10.0,10.0,9.33,8.08,0.0,Brazil,0,1,83.83
283,1300.0,7.83,7.42,7.5,7.83,7.75,Catuai,7.83,10.0,10.0,10.0,7.67,0.1,Costa Rica,0,3,83.83
284,1219.2,7.58,7.83,7.33,8.0,7.58,Bourbon,7.75,10.0,10.0,10.0,7.75,0.1,Guatemala,0,1,83.83
285,1260.0,7.92,7.5,7.33,7.67,8.17,Yellow Bourbon,7.5,10.0,10.0,10.0,7.75,0.1,Brazil,0,0,83.83
287,1750.0,7.67,7.58,7.58,7.83,7.58,Caturra,7.67,10.0,10.0,10.0,7.92,0.11,Colombia,0,1,83.83
288,1310.64,7.5,7.83,7.5,7.83,7.83,Bourbon,7.67,10.0,10.0,10.0,7.67,0.11,Guatemala,0,3,83.83
289,1218.0,7.67,8.0,7.67,7.42,7.67,Bourbon,7.5,10.0,10.0,10.0,7.92,0.1,Mexico,0,2,83.83
290,1300.0,7.67,7.58,7.5,7.75,7.75,Pacas,7.75,10.0,10.0,10.0,7.83,0.11,Mexico,0,4,83.83
291,1250.0,7.83,7.83,7.58,7.67,7.5,Yellow Bourbon,7.58,10.0,10.0,10.0,7.83,0.12,Brazil,0,3,83.83
295,1800.0,7.75,7.58,7.5,7.58,7.75,SL28,7.75,10.0,10.0,10.0,7.83,0.11,Kenya,0,2,83.75
296,890.0,7.67,7.67,7.58,7.75,7.67,Bourbon,7.67,10.0,10.0,10.0,7.75,0.11,Brazil,0,5,83.75
297,442.0,7.83,7.83,7.58,7.58,7.58,Caturra,7.58,10.0,10.0,10.0,7.75,0.11,Colombia,0,1,83.75
298,750.0,7.67,7.67,7.58,7.58,7.67,Typica,7.83,10.0,10.0,10.0,7.75,0.0,Taiwan,0,0,83.75
300,1650.0,7.83,7.75,7.67,7.5,7.58,Catimor,7.67,10.0,10.0,10.0,7.75,0.1,China,0,2,83.75
301,442.0,7.75,7.67,7.5,7.67,7.58,Caturra,7.83,10.0,10.0,10.0,7.75,0.0,Colombia,0,0,83.75
302,1400.0,8.0,7.92,7.58,7.75,7.33,Bourbon,7.5,10.0,10.0,10.0,7.67,0.12,Uganda,0,0,83.75
303,853.44,7.83,7.83,7.83,7.67,8.0,Other,8.17,9.33,9.33,10.0,7.75,0.12,United States (Puerto Rico),0,1,83.75
304,1775.0,7.67,7.67,7.67,7.92,7.5,Caturra,7.67,10.0,10.0,10.0,7.67,0.0,Colombia,0,5,83.75
305,1550.0,7.67,7.42,7.42,7.42,8.0,Other,8.33,10.0,10.0,10.0,7.5,0.0,Colombia,0,3,83.75
306,1750.0,7.58,7.67,7.75,7.67,7.67,Caturra,7.67,10.0,10.0,10.0,7.75,0.0,Colombia,0,1,83.75
307,1750.0,7.75,7.67,7.75,7.58,7.42,Caturra,8.0,10.0,10.0,10.0,7.58,0.11,Colombia,0,3,83.75
309,700.0,7.83,7.58,7.58,7.5,7.75,Caturra,7.67,10.0,10.0,10.0,7.83,0.13,Mexico,5,5,83.75
310,1300.0,7.67,7.58,7.58,7.67,7.75,Caturra,7.75,10.0,10.0,10.0,7.75,0.11,Guatemala,0,1,83.75
314,890.0,7.67,7.83,7.5,7.67,7.67,Bourbon,7.5,10.0,10.0,10.0,7.83,0.11,Brazil,0,2,83.67
315,1700.0,8.08,7.67,7.67,7.58,7.25,SL28,7.67,10.0,10.0,10.0,7.75,0.11,Kenya,0,0,83.67
316,1400.0,7.5,7.5,7.67,7.67,8.0,Caturra,8.0,10.0,10.0,10.0,7.33,0.1,Honduras,0,2,83.67
317,1250.0,7.67,7.75,7.67,7.67,7.83,Caturra,7.58,10.0,10.0,10.0,7.5,0.1,Nicaragua,0,3,83.67
318,934.0,7.58,7.75,7.58,7.75,7.58,Bourbon,7.58,10.0,10.0,10.0,7.83,0.11,Brazil,0,3,83.67
319,1200.0,7.5,7.67,7.33,7.92,7.83,Caturra,7.67,10.0,10.0,10.0,7.75,0.1,Taiwan,0,0,83.67
322,1625.0,7.5,7.75,7.5,7.75,7.67,Caturra,7.67,10.0,10.0,10.0,7.83,0.11,Colombia,0,4,83.67
323,1356.6648,8.0,7.5,7.33,8.0,8.0,Bourbon,8.0,9.33,10.0,10.0,7.5,0.1,Guatemala,0,0,83.67
324,1750.0,7.83,7.75,7.67,7.58,7.58,Caturra,7.67,10.0,10.0,10.0,7.58,0.0,Colombia,0,3,83.67
325,1900.0,7.67,7.67,7.67,7.67,7.33,Caturra,7.75,10.0,10.0,10.0,7.92,0.0,Colombia,0,1,83.67
326,1310.64,7.67,7.67,7.42,7.67,8.0,Bourbon,7.75,10.0,10.0,10.0,7.5,0.12,Guatemala,1,3,83.67
327,1310.64,7.83,7.67,7.33,7.67,7.67,Bourbon,7.83,10.0,10.0,10.0,7.67,0.11,Guatemala,0,2,83.67
328,1750.0,7.75,7.75,7.58,7.83,7.17,Caturra,7.75,10.0,10.0,10.0,7.83,0.11,Colombia,0,1,83.67
329,1450.0,8.17,8.17,7.83,7.67,8.08,Caturra,7.75,9.33,9.33,9.33,8.0,0.11,Guatemala,0,1,83.67
330,1310.64,7.67,8.17,7.5,7.42,7.58,Bourbon,7.83,10.0,10.0,10.0,7.5,0.11,Guatemala,0,13,83.67
331,1100.0,7.67,7.5,7.5,7.33,7.83,Typica,8.25,10.0,10.0,10.0,7.58,0.12,Mexico,4,11,83.67
332,1400.0,8.17,7.67,7.58,7.58,7.42,Typica,7.67,10.0,10.0,10.0,7.58,0.12,Indonesia,0,0,83.67
333,1524.0,7.67,7.5,7.33,8.0,7.67,Caturra,7.67,10.0,10.0,10.0,7.83,0.1,Guatemala,0,0,83.67
335,890.0,7.58,7.67,7.58,7.58,7.67,Bourbon,7.58,10.0,10.0,10.0,7.92,0.11,Brazil,0,5,83.58
336,1128.3696,7.75,7.75,7.5,7.83,7.58,Caturra,7.58,10.0,10.0,10.0,7.58,0.11,Guatemala,0,0,83.58
338,1100.0,7.67,7.58,7.58,7.58,7.67,Catimor,7.75,10.0,10.0,10.0,7.75,0.1,China,0,4,83.58
339,1775.0,7.67,7.75,7.58,7.67,7.75,Caturra,7.58,10.0,10.0,10.0,7.58,0.12,Colombia,0,3,83.58
340,1200.0,7.75,7.75,7.58,7.58,7.5,Caturra,7.67,10.0,10.0,10.0,7.75,0.12,Mexico,1,13,83.58
341,1850.0,7.75,7.67,7.58,7.67,7.5,Other,7.67,10.0,10.0,10.0,7.75,0.0,Ethiopia,0,7,83.58
342,1800.0,7.67,7.67,7.42,7.75,7.75,SL14,7.67,10.0,10.0,10.0,7.67,0.12,Uganda,0,5,83.58
343,1600.0,7.67,7.58,7.67,7.67,7.67,Caturra,7.67,10.0,10.0,10.0,7.67,0.0,Colombia,0,0,83.58
344,1550.0,7.67,7.58,7.67,7.58,7.67,Caturra,7.75,10.0,10.0,10.0,7.67,0.12,Colombia,0,1,83.58
345,1550.0,7.75,7.58,7.5,7.58,7.75,Caturra,7.83,10.0,10.0,10.0,7.58,0.0,Colombia,0,0,83.58
346,1000.0,7.75,7.75,7.75,7.75,7.5,Typica,7.58,10.0,10.0,10.0,7.5,0.11,Taiwan,0,0,83.58
347,1775.0,7.67,7.67,7.58,7.67,7.75,Caturra,7.58,10.0,10.0,10.0,7.67,0.11,Colombia,0,3,83.58
348,1000.0,7.83,7.67,7.58,7.58,7.67,Typica,7.58,10.0,10.0,10.0,7.67,0.12,Mexico,0,2,83.58
349,2136.0,7.67,7.58,7.58,7.58,7.67,Caturra,7.75,10.0,10.0,10.0,7.75,0.11,Colombia,0,4,83.58
350,1100.0,7.83,7.75,7.5,7.75,7.5,Catuai,7.58,10.0,10.0,10.0,7.67,0.12,Brazil,0,2,83.58
351,1799.0,7.75,7.58,7.58,7.75,7.75,Caturra,7.5,10.0,10.0,10.0,7.58,0.0,Colombia,0,5,83.5
353,1850.0,7.92,7.42,7.5,7.67,7.5,Caturra,7.67,10.0,10.0,10.0,7.83,0.0,Costa Rica,0,0,83.5
354,1000.0,7.75,7.58,7.58,7.5,7.75,Caturra,7.75,10.0,10.0,10.0,7.58,0.0,Colombia,0,0,83.5
355,1219.2,7.67,7.75,7.5,7.83,7.58,Bourbon,7.58,10.0,10.0,10.0,7.58,0.1,Guatemala,0,5,83.5
356,1775.0,7.58,7.58,7.58,7.58,7.75,Caturra,7.67,10.0,10.0,10.0,7.75,0.12,Colombia,0,4,83.5
357,1400.0,7.75,7.67,7.58,7.67,7.67,Ruiru 11,7.58,10.0,10.0,10.0,7.58,0.13,"Tanzania, United Republic Of",0,21,83.5
358,1500.0,7.25,7.67,7.58,7.92,7.83,Sumatra,7.58,10.0,10.0,10.0,7.67,0.13,Indonesia,0,8,83.5
361,1850.0,8.0,7.58,7.25,7.58,7.92,Caturra,7.58,10.0,10.0,10.0,7.58,0.11,Colombia,0,0,83.5
362,1400.0,7.58,7.75,7.5,7.83,7.42,Caturra,7.67,10.0,10.0,10.0,7.75,0.1,Guatemala,0,0,83.5
363,1650.0,7.75,7.58,7.33,7.5,7.83,Caturra,7.83,10.0,10.0,10.0,7.67,0.0,Colombia,2,0,83.5
364,1350.0,7.67,7.5,7.67,7.5,7.67,Caturra,7.67,10.0,10.0,10.0,7.83,0.1,Honduras,0,3,83.5
365,1750.0,7.58,7.75,7.42,7.67,7.75,Caturra,7.67,10.0,10.0,10.0,7.67,0.0,Colombia,1,1,83.5
366,1750.0,7.58,7.67,7.58,7.75,7.58,Caturra,7.75,10.0,10.0,10.0,7.58,0.11,Colombia,0,2,83.5
367,1170.0,7.83,7.58,7.25,7.5,7.5,Bourbon,7.42,10.0,10.0,10.0,8.42,0.13,Mexico,0,14,83.5
368,940.0,7.67,7.75,7.67,7.75,7.58,Typica,7.5,10.0,10.0,10.0,7.58,0.11,Mexico,0,12,83.5
369,1400.0,7.75,7.67,7.67,7.75,7.33,Pacamara,7.5,10.0,10.0,10.0,7.83,0.12,Mexico,0,0,83.5
370,1524.0,7.83,7.5,7.5,8.0,7.67,Caturra,7.5,10.0,10.0,10.0,7.5,0.1,Guatemala,0,5,83.5
371,1775.0,7.67,7.58,7.58,7.67,7.67,Caturra,7.67,10.0,10.0,10.0,7.67,0.11,Colombia,0,0,83.5
372,1402.08,7.5,7.5,7.75,7.5,8.0,Bourbon,7.67,10.0,10.0,10.0,7.58,0.0,Guatemala,3,12,83.5
375,439.0,7.5,7.58,7.58,7.5,7.75,Caturra,7.83,10.0,10.0,10.0,7.67,0.0,Colombia,0,1,83.42
376,1700.0,7.67,7.75,7.5,7.58,7.58,Bourbon,7.67,10.0,10.0,10.0,7.67,0.1,Guatemala,0,3,83.42
377,442.0,7.67,7.67,7.5,7.67,7.67,Caturra,7.58,10.0,10.0,10.0,7.67,0.11,Colombia,0,2,83.42
378,1850.0,7.58,7.5,7.42,7.92,7.5,Caturra,7.67,10.0,10.0,10.0,7.83,0.09,Costa Rica,0,4,83.42
380,1800.0,7.58,7.75,7.33,7.75,7.67,SL14,7.58,10.0,10.0,10.0,7.75,0.11,Uganda,0,1,83.42
381,1200.0,7.5,7.58,7.75,7.5,7.75,Catimor,7.67,10.0,10.0,10.0,7.67,0.13,Thailand,0,0,83.42
382,1330.0,7.58,7.5,7.75,7.58,7.75,Bourbon,7.67,10.0,10.0,10.0,7.58,0.11,El Salvador,0,0,83.42
383,442.0,7.58,7.67,7.58,7.67,7.58,Caturra,7.67,10.0,10.0,10.0,7.67,0.12,Colombia,4,0,83.42
385,1600.0,7.75,7.67,7.58,7.67,7.58,Bourbon,7.58,10.0,10.0,10.0,7.58,0.13,"Tanzania, United Republic Of",0,4,83.42
386,1813.0,7.58,7.58,7.25,7.75,7.75,Caturra,8.58,9.33,10.0,10.0,7.58,0.12,Colombia,0,1,83.42
387,1219.2,7.75,7.83,7.33,7.83,7.5,Bourbon,7.67,10.0,10.0,10.0,7.5,0.1,Guatemala,0,1,83.42
388,1500.0,7.67,7.75,7.5,7.83,7.58,Caturra,7.5,10.0,10.0,10.0,7.58,0.1,Guatemala,0,2,83.42
389,1310.64,7.67,7.5,7.75,7.42,7.75,Bourbon,7.75,10.0,10.0,10.0,7.58,0.11,Guatemala,0,0,83.42
391,1450.0,7.5,7.75,7.58,7.5,7.67,Caturra,7.75,10.0,10.0,10.0,7.67,0.11,Colombia,0,2,83.42
396,1650.0,7.75,7.5,7.75,7.58,7.58,Caturra,7.58,10.0,10.0,10.0,7.58,0.0,Colombia,0,0,83.33
399,1227.0,7.5,7.83,7.33,7.58,7.58,Catuai,7.92,10.0,10.0,10.0,7.58,0.1,Brazil,1,5,83.33
400,1200.0,7.75,7.75,7.5,7.67,7.5,Caturra,7.58,10.0,10.0,10.0,7.58,0.12,Mexico,0,2,83.33
401,1650.0,7.67,7.75,7.42,7.83,7.83,Caturra,7.42,10.0,10.0,10.0,7.42,0.11,Colombia,0,1,83.33
402,1700.0,7.75,7.58,7.67,7.58,7.58,Other,7.58,10.0,10.0,10.0,7.58,0.12,"Tanzania, United Republic Of",0,6,83.33
403,1100.0,7.67,7.67,7.58,7.67,7.5,Other,7.58,10.0,10.0,10.0,7.67,0.12,Mexico,0,0,83.33
404,1300.0,7.67,7.67,7.42,7.67,7.67,Caturra,7.67,10.0,10.0,10.0,7.58,0.12,Costa Rica,0,3,83.33
406,1200.0,7.5,7.67,7.67,7.5,7.83,Catuai,7.17,10.0,10.0,10.0,8.0,0.11,Costa Rica,0,3,83.33
408,1280.16,7.58,7.5,7.67,7.5,7.83,Typica,7.42,10.0,10.0,10.0,7.83,0.11,Haiti,0,4,83.33
409,1000.0,7.67,7.67,7.5,7.67,7.92,Caturra,7.42,10.0,10.0,10.0,7.5,0.11,Colombia,0,1,83.33
410,1310.64,7.83,7.67,7.17,7.67,7.67,Bourbon,7.67,10.0,10.0,10.0,7.67,0.11,Guatemala,0,3,83.33
412,1880.0,7.75,7.67,7.33,7.5,7.5,Bourbon,7.75,10.0,10.0,10.0,7.83,0.0,Burundi,0,5,83.33
413,1750.0,7.5,7.67,7.67,7.58,7.67,Caturra,7.58,10.0,10.0,10.0,7.67,0.0,Colombia,0,1,83.33
416,1600.0,7.67,7.83,7.42,7.83,7.33,Typica,7.5,10.0,10.0,10.0,7.67,0.11,Mexico,0,0,83.25
417,1900.0,7.5,7.5,7.83,7.5,7.67,Catuai,7.67,10.0,10.0,10.0,7.58,0.11,Costa Rica,0,0,83.25
419,2100.0,7.5,7.58,7.42,7.83,7.67,Pacas,7.58,10.0,10.0,10.0,7.67,0.11,Guatemala,0,7,83.25
422,442.0,7.58,7.67,7.67,7.17,7.75,Caturra,7.83,10.0,10.0,10.0,7.58,0.0,Colombia,0,2,83.25
423,1261.0,7.83,7.75,7.5,7.58,7.58,Typica,7.58,10.0,10.0,10.0,7.42,0.12,Mexico,0,2,83.25
424,1000.0,7.67,7.5,7.5,7.5,7.67,Bourbon,7.83,10.0,10.0,10.0,7.58,0.1,Taiwan,0,0,83.25
425,800.0,7.92,7.83,7.75,7.58,7.5,Typica,7.33,10.0,10.0,10.0,7.33,0.1,Taiwan,0,0,83.25
426,1483.0,7.58,7.58,7.5,7.58,7.58,Caturra,7.75,10.0,10.0,10.0,7.67,0.0,Colombia,0,0,83.25
427,1500.0,7.5,7.67,7.58,7.67,7.67,Caturra,7.5,10.0,10.0,10.0,7.67,0.1,Guatemala,0,1,83.25
428,1750.0,7.83,7.5,7.67,7.33,7.67,Caturra,7.67,10.0,10.0,10.0,7.58,0.11,Colombia,0,1,83.25
429,1300.0,7.58,7.75,7.5,7.5,7.58,Bourbon,7.58,10.0,10.0,10.0,7.75,0.12,Mexico,0,6,83.25
432,1000.0,7.75,7.75,7.42,7.92,7.33,Caturra,7.5,10.0,10.0,10.0,7.58,0.12,Mexico,0,0,83.25
433,1310.64,7.83,7.58,7.08,7.83,7.42,Bourbon,8.08,10.0,10.0,10.0,7.42,0.11,Guatemala,0,9,83.25
434,1200.0,7.75,7.67,7.5,7.58,7.58,Yellow Bourbon,7.58,10.0,10.0,10.0,7.58,0.11,Brazil,0,1,83.25
435,175.0,7.67,7.58,7.58,7.42,7.83,Caturra,7.58,10.0,10.0,10.0,7.58,0.12,Colombia,0,1,83.25
436,1775.0,7.67,7.67,7.5,7.5,7.58,Caturra,7.67,10.0,10.0,10.0,7.67,0.11,Colombia,0,0,83.25
440,890.0,7.67,7.42,7.5,7.58,7.67,Bourbon,7.58,10.0,10.0,10.0,7.75,0.11,Brazil,0,4,83.17
441,1901.0,7.58,7.58,7.33,7.67,7.75,Bourbon,7.58,10.0,10.0,10.0,7.67,0.1,Guatemala,0,1,83.17
442,168.0,7.67,7.58,7.42,7.67,7.67,Bourbon,7.58,10.0,10.0,10.0,7.58,0.12,"Tanzania, United Republic Of",0,3,83.17
444,1550.0,7.58,7.42,7.08,7.33,7.58,Catimor,8.58,10.0,10.0,10.0,7.58,0.07,Vietnam,0,0,83.17
445,1500.0,7.67,7.75,7.42,7.75,7.58,Caturra,7.5,10.0,10.0,10.0,7.5,0.11,Guatemala,2,3,83.17
446,1450.0,7.67,7.67,7.5,7.67,7.5,Catuai,7.67,10.0,10.0,10.0,7.5,0.11,Honduras,0,1,83.17
447,1200.0,7.5,7.67,7.33,7.67,7.67,Catimor,7.67,10.0,10.0,10.0,7.67,0.11,China,0,0,83.17
448,1600.0,7.67,7.67,7.5,7.67,7.42,Catimor,7.58,10.0,10.0,10.0,7.67,0.1,China,0,3,83.17
449,1350.0,7.5,7.5,7.33,7.67,8.0,Bourbon,7.67,10.0,10.0,10.0,7.5,0.0,El Salvador,0,0,83.17
450,1500.0,7.5,7.75,7.5,7.83,7.58,Bourbon,7.5,10.0,10.0,10.0,7.5,0.11,Guatemala,0,1,83.17
451,1650.0,7.92,7.67,7.42,7.75,7.5,Bourbon,7.5,10.0,10.0,10.0,7.42,0.12,Guatemala,0,3,83.17
452,250.5,7.83,7.75,7.67,7.75,7.83,SL28,8.5,9.33,9.33,9.33,7.83,0.1,Kenya,0,1,83.17
454,1653.0,7.58,7.67,7.67,7.58,7.42,Other,7.58,10.0,10.0,10.0,7.67,0.13,"Tanzania, United Republic Of",0,6,83.17
